"","Ctl-1","Ctl-2","Ctl-3","Ctl-4","Ctl-Lin-1","Ctl-Lin-3","Ctl-Lin-4","Ctl-Lin-5","Ctl-Van-1","Ctl-Van-2","Ctl-Van-3","Ctl-Van-4","24h-1","24h-2","24h-3","24h-5","24h-lin-1","24h-lin-3","24h-lin-4","24h-lin-5","24h-Van-1","24h-Van-2","24h-Van-3","24h-Van-4"
"1451077_at",5.85624584526627,5.61466669216748,5.88274965926601,5.89604553097195,5.42058981449836,5.9106559957227,5.74333645440553,5.75190535661997,5.87868982075635,6.00451558572438,5.72951890135202,6.0999330172066,5.83006158467086,4.86875438681789,5.31333165211352,4.92850442164419,5.13063317973534,5.37687357870546,5.09604319414876,4.91085989543087,5.41466415220402,4.72033038212971,5.34535476510161,5.09125613765809
"1440967_at",5.0071014388525,5.10100276916859,5.26188640382468,5.64527598901006,4.96153740457506,5.39321437618615,5.44854962325375,5.59861330405095,5.54306525416992,5.67436162836398,5.16736933689086,5.46065268575412,4.85283180960833,4.25513122674423,4.10114984041464,4.13570209905393,4.46218008507043,4.17896214155739,4.31007010017339,4.5406351583403,4.13545291434579,4.15697623536395,4.29656006045988,5.08694929752783
"1422892_s_at",9.54386568958254,8.72235331507198,9.09381490406316,8.81412839027754,9.38660182321475,9.31831688966909,8.77878333531517,9.11449738247941,8.70377590457955,9.47666898111443,9.45886449492767,9.46367161763633,7.09100240145955,7.55753731325229,7.14485767485127,7.34384334456082,7.41049610409509,7.78133305931339,7.31307397834265,7.7948840778738,7.8919683126001,6.54515572861022,7.63622560384846,6.49400738531601
"1454193_at",8.45321940065696,8.76940134833125,8.97118423966364,8.90700238637678,8.19308912245218,8.28852526899908,8.33351244595877,9.16796911234206,8.34278145402147,7.8324995580095,8.14396579991714,8.20639542059406,8.06142654128094,8.11541057599117,9.23665999772723,8.27353248833147,9.41919010524776,9.15083505629008,9.23929260067457,9.10018030905631,9.10394036311506,9.13652358206826,9.04921486259702,8.25531700924914
"1420342_at",6.67019379898059,6.53708987581697,6.86338925715007,6.54701479065173,6.53153062132704,6.72901678230908,6.75344853655952,6.72511102195261,6.68575881552137,6.92764861958691,6.49114404921179,6.99187036276848,7.99285666370897,8.88276913713657,7.62276939303011,8.79928053967573,7.48475839291315,7.69499186402067,7.96672304712192,7.98957305815672,7.12457088373229,6.35760770366326,7.57582694832699,6.64089633546173
"1430622_at",7.30480737138701,6.52154454450078,7.34795983501055,6.4516275373653,6.50138385370452,6.73566365846165,6.79191488249876,6.59875715758523,6.68824772333266,7.45211723036464,6.4866361103875,7.59105047781415,5.52284263431356,6.11764085096411,5.43028202652098,5.7941829671228,5.68308648021179,5.93356452155303,5.32460047512717,6.14189554118492,5.87419160638021,6.1495048502298,5.54759169559845,5.72158045187527
"1417707_at",8.44216497387526,8.13231175915965,8.52237382887197,8.52381733137969,8.22779343037909,8.45988551840419,8.41614610563627,8.53019975827133,8.36609030358534,8.68493693477133,8.58544228979256,8.890359871423,7.20287266030946,8.25470713047389,7.7166780000769,8.14969068587544,7.53047579515424,7.66988483559064,7.36963813100382,7.52026896318228,7.77141502931993,6.95573884869539,7.74777846682033,7.60654564225455
"1438676_at",6.18947731582941,6.30180849019933,5.95568268275175,6.28713010239627,5.90081424756484,6.19753568451757,6.76361597068817,6.31511642181277,6.06953701652919,6.35630298005276,7.71582786079238,6.14710305006386,7.9616533145791,7.93465505212436,7.58319744844713,7.81515649402638,7.89160045999161,7.90522115694547,7.91213528871219,8.21270418811656,7.57459709292911,5.08152172212104,6.91920362468042,5.45555238120295
"1416414_at",5.64889648316624,6.00831110725878,5.83555689169413,6.11916434765747,5.74332780522367,6.18092366689285,6.13525139216776,6.07730559551065,6.40255375852929,6.08834112740086,6.4861714003885,6.54453733505918,6.46824491069248,7.35248330744399,7.27351498993933,7.30329755791988,6.81266572861147,7.4582902499654,7.63975215080041,6.67872838270872,7.33468552799211,6.97858149588262,6.85418786228825,6.9369009341288
"1435939_s_at",5.19181773004527,4.85932261491275,5.37523663145305,5.11406254989774,5.14285729323517,5.30968035878873,4.63039713426779,4.81160852068558,4.93791412938338,6.32278646041203,4.93279638827763,6.3255472599573,4.44960224222828,4.33094997065271,4.08091460258018,4.21010615377367,4.56509623061657,4.42508956758525,4.54479282763015,4.31950576508157,4.85429951825896,4.23133466486243,4.59692234382434,4.29586863099411
